//█████████████████████████████████████████████████████████████████████████████
// +.'미인식 문자치환
//█████████████████████████████████████████████████████████████████████████████

//반각 가타카나 <SkipLayer 11100110>
ｦ	ヲ	11100110	0
ｧ	ァ	11100110	0
ｨ	ィ	11100110	0
ｩ	ゥ	11100110	0
ｪ	ェ	11100110	0
ｫ	ォ	11100110	0
ｬ	ャ	11100110	0
ｭ	ュ	11100110	0
ｮ	ョ	11100110	0
ｯ	ッ	11100110	0
ｱ	ア	11100110	0
ｲ	イ	11100110	0
ｳﾞ	ヴ	11100110	0
ｳ	ウ	11100110	0
ｴ	エ	11100110	0
ｵ	オ	11100110	0
ｶﾞ	ガ	11100110	0
ｶ	カ	11100110	0
ｷﾞ	ギ	11100110	0
ｷ	キ	11100110	0
ｸﾞ	グ	11100110	0
ｸ	ク	11100110	0
ｹﾞ	ゲ	11100110	0
ｹ	ケ	11100110	0
ｺﾞ	ゴ	11100110	0
ｺ	コ	11100110	0
ｻﾞ	ザ	11100110	0
ｻ	サ	11100110	0
ｼﾞ	ジ	11100110	0
ｼ	シ	11100110	0
ｽﾞ	ズ	11100110	0
ｽ	ス	11100110	0
ｾﾞ	ゼ	11100110	0
ｾ	セ	11100110	0
ｿﾞ	ゾ	11100110	0
ｿ	ソ	11100110	0
ﾀﾞ	ダ	11100110	0
ﾀ	タ	11100110	0
ﾁﾞ	ヂ	11100110	0
ﾁ	チ	11100110	0
ﾂﾞ	ヅ	11100110	0
ﾂ	ツ	11100110	0
ﾃﾞ	デ	11100110	0
ﾃ	テ	11100110	0
ﾄﾞ	ド	11100110	0
ﾄ	ト	11100110	0
ﾅ	ナ	11100110	0
ﾆ	ニ	11100110	0
ﾇ	ヌ	11100110	0
ﾈ	ネ	11100110	0
ﾉ	ノ	11100110	0
ﾊﾟ	パ	11100110	0
ﾊﾞ	バ	11100110	0
ﾊ	ハ	11100110	0
ﾋﾟ	ピ	11100110	0
ﾋﾞ	ビ	11100110	0
ﾋ	ヒ	11100110	0
ﾌﾟ	プ	11100110	0
ﾌﾞ	ブ	11100110	0
ﾌ	フ	11100110	0
ﾍﾟ	ペ	11100110	0
ﾍﾞ	ベ	11100110	0
ﾍ	ヘ	11100110	0
ﾎﾟ	ポ	11100110	0
ﾎﾞ	ボ	11100110	0
ﾎ	ホ	11100110	0
ﾏ	マ	11100110	0
ﾐ	ミ	11100110	0
ﾑ	ム	11100110	0
ﾒ	メ	11100110	0
ﾓ	モ	11100110	0
ﾔ	ヤ	11100110	0
ﾕ	ユ	11100110	0
ﾖ	ヨ	11100110	0
ﾗ	ラ	11100110	0
ﾘ	リ	11100110	0
ﾙ	ル	11100110	0
ﾚ	レ	11100110	0
ﾛ	ロ	11100110	0
ﾜ	ワ	11100110	0
ﾝ	ン	11100110	0
//전각 알파벳 및 숫자 <SkipLayer 11100130>
Ａ	A	11100130	0
Ｂ	B	11100130	0
Ｃ	C	11100130	0
Ｄ	D	11100130	0
Ｅ	E	11100130	0
Ｆ	F	11100130	0
